question,answer
Hi,Hello!
How are you?,Hello!
Is anyone there?,Hello!
Hello,Hello!
Good day,Hello!
What's up,Hello!
how are ya,Hello!
heyy,Hello!
whatsup,Hello!
??? ??? ??,Hello!
cya,Sad to see you go :(
see you,Sad to see you go :(
bye bye,Sad to see you go :(
See you later,Sad to see you go :(
Goodbye,Sad to see you go :(
I am Leaving,Sad to see you go :(
Bye,Sad to see you go :(
Have a Good day,Sad to see you go :(
talk to you later,Talk to you later
ttyl,Talk to you later
i got to go,Sad to see you go :(
gtg,Sad to see you go :(
what is the name of your developers,College students
what is the name of your creators,College students
what is the name of the developers,College students
what is the name of the creators,College students
who created you,College students
your developers,College students
your creators,College students
who are your developers,College students
developers,College students
you are made by,College students
you are made by whom,College students
who created you,College students
who create you,College students
creators,College students
who made you,College students
who designed you,College students
name,You can call me Mind Reader.
your name,You can call me Mind Reader.
do you have a name,You can call me Mind Reader.
what are you called,You can call me Mind Reader.
what is your name,You can call me Mind Reader.
what should I call you,You can call me Mind Reader.
whats your name?,You can call me Mind Reader.
what are you,You can call me Mind Reader.
who are you,You can call me Mind Reader.
who is this,You can call me Mind Reader.
what am i chatting to,You can call me Mind Reader.
who am i taking to,You can call me Mind Reader.
what are you,You can call me Mind Reader.
timing of college,College is open 8am-5pm Monday-Saturday!
what is college timing,College is open 8am-5pm Monday-Saturday!
working days,College is open 8am-5pm Monday-Saturday!
when are you guys open,College is open 8am-5pm Monday-Saturday!
what are your hours,College is open 8am-5pm Monday-Saturday!
hours of operation,College is open 8am-5pm Monday-Saturday!
when is the college open,College is open 8am-5pm Monday-Saturday!
college timing,College is open 8am-5pm Monday-Saturday!
what about college timing,College is open 8am-5pm Monday-Saturday!
is college open on saturday,College is open 8am-5pm Monday-Saturday!
tell something about college timing,College is open 8am-5pm Monday-Saturday!
what is the college  hours,College is open 8am-5pm Monday-Saturday!
when should i come to college,College is open 8am-5pm Monday-Saturday!
when should i attend college,College is open 8am-5pm Monday-Saturday!
what is my college time,College is open 8am-5pm Monday-Saturday!
college timing,College is open 8am-5pm Monday-Saturday!
timing college,College is open 8am-5pm Monday-Saturday!
more info,You can contact at: NUMBER
contact info,You can contact at: NUMBER
how to contact college,You can contact at: NUMBER
college telephone number,You can contact at: NUMBER
college number,You can contact at: NUMBER
What is your contact no,You can contact at: NUMBER
Contact number?,You can contact at: NUMBER
how to call you,You can contact at: NUMBER
College phone no?,You can contact at: NUMBER
how can i contact you,You can contact at: NUMBER
Can i get your phone number,You can contact at: NUMBER
how can i call you,You can contact at: NUMBER
phone number,You can contact at: NUMBER
phone no,You can contact at: NUMBER
call,You can contact at: NUMBER
list of courses,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
list of courses offered,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
list of courses offered in,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
what are the courses offered in your college?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
courses?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
courses offered,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
courses offered in (your univrsity(UNI) name),Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
courses you offer,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
branches?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
courses available at UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
branches available at your college?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
what are the courses in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
what are branches in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
what are courses in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
branches available in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
can you tell me the courses available in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
can you tell me the branches available in UNI?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
computer engineering?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
computer,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
Computer engineering?,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
it,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
IT,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
Information Technology,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
AI/Ml,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
Mechanical engineering,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
Chemical engineering,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
Civil engineering,Our university offers Information Technology computer Engineering Mechanical engineering Chemical engineering Civil engineering and extc Engineering.
information about fee,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
information on fee,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
tell me the fee,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
college fee,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fee per semester,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
what is the fee of each semester,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
what is the fees of each year,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
what is fee,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
what is the fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
how much is the fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for first year,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
about the fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
tell me something about the fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
What is the fees of hostel,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
how much is the fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
hostel fees,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for AC room,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for non-AC room,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for Ac room for girls,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for non-Ac room for girls,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for Ac room for boys,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
fees for non-Ac room for boys,For Fee detail visit : https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/courses-fees
where is the college located,http://www.rit.ac.in/rit-findus.php
college is located at,http://www.rit.ac.in/rit-findus.php
where is college,http://www.rit.ac.in/rit-findus.php
where is college located,http://www.rit.ac.in/rit-findus.php
address of college,http://www.rit.ac.in/rit-findus.php
how to reach college,http://www.rit.ac.in/rit-findus.php
college location,http://www.rit.ac.in/rit-findus.php
college address,http://www.rit.ac.in/rit-findus.php
wheres the college,http://www.rit.ac.in/rit-findus.php
how can I reach college,http://www.rit.ac.in/rit-findus.php
whats is the college address,http://www.rit.ac.in/rit-findus.php
what is the address of college,http://www.rit.ac.in/rit-findus.php
address,http://www.rit.ac.in/rit-findus.php
location,http://www.rit.ac.in/rit-findus.php
hostel facility,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
hostel servive,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
hostel,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
do you have hostel,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
about the hostel,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
information about hostel,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
hostel for boys,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
hostel for girls,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
are you have hostel facility,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
college hostel,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
hostel service,For hostel detail visit https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel
library,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
lab,For lab details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/lab
placement,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
what about placement,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
what is placement,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
placement details,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
placement for computer engineering,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
placement for mechanical engineering,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
placement for Chemical engineering,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
placement for civil engineering,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
what are the placement records,For placement details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/placement
lab facilities,For lab details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/lab
what about lab,For lab details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/lab
what is lab,For lab details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/lab
library facility,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
library service,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
what about library,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
what is library,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
library facilities,For library details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/library
extra curricular activities,For extracurricular details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/reviews
what about extracurricular activities,For extracurricular details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/reviews
what are extracurricular activities,For extracurricular details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/reviews
clubs,For club details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/reviews
hostel,For hostel details visit: https://collegedunia.com/college/14735-rajiv-gandhi-institute-of-technology-rit-kottayam/hostel